Order ID,Location ID,TotalProfit,TotalSales,TotalQuantity,Order Date,Ship Date,Customer ID
CA-2014-100006,23,109.61,377.97,3,557,103,589
CA-2014-100090,34,-19.09,699.19,9,1001,136,182
CA-2014-100293,133,31.87,91.06,6,619,772,739
CA-2014-100328,23,1.33,3.93,1,838,511,209
CA-2014-100363,276,7.72,21.38,5,918,1166,487
CA-2014-100391,45,6.73,14.62,2,594,1322,768
CA-2014-100678,14,61.8,697.08,11,891,1150,27
CA-2014-100706,28,17.72,129.44,8,757,1307,97
CA-2014-100762,30,219.08,508.62,11,156,503,243
CA-2014-100860,282,9.0,18.75,5,959,809,473
CA-2014-100867,468,20.1,321.55,6,538,745,258
CA-2014-100881,383,22.68,302.38,3,1176,470,660
CA-2014-100895,236,176.92,605.47,7,270,571,647
CA-2014-100916,389,122.97,788.86,10,618,965,395
CA-2014-100972,363,79.89,166.44,3,84,156,748
CA-2014-101147,36,-6.34,2.39,1,266,774,430
CA-2014-101175,154,-1.26,100.7,6,337,637,678
CA-2014-101266,28,6.41,13.36,2,9,1194,462
CA-2014-101364,164,100.14,296.71,13,1091,58,69
CA-2014-101392,5,70.03,269.36,7,1035,736,357
CA-2014-101427,11,1.1,8.02,3,58,125,672
CA-2014-101462,62,27.56,59.92,4,1017,573,546
CA-2014-101476,131,30.1,69.99,1,171,103,174
CA-2014-101560,37,110.84,542.34,19,683,588,294
CA-2014-101602,294,-30.96,803.96,8,534,1307,498
CA-2014-101770,123,-1.31,1.87,1,691,527,208
CA-2014-101833,23,17.22,34.44,3,664,754,435
CA-2014-101931,13,18.61,1252.6,17,919,656,477
CA-2014-102008,164,24.47,48.94,1,587,777,154
CA-2014-102085,60,13.74,29.24,4,777,1148,557
CA-2014-102274,126,323.13,865.5,13,871,35,704
CA-2014-102295,379,-18.11,120.71,1,156,35,552
CA-2014-102330,90,80.4,408.77,10,282,928,482
CA-2014-102645,121,19.24,40.08,6,1212,838,780
CA-2014-102652,13,64.5,199.99,13,322,791,672
CA-2014-102673,43,127.97,1044.44,29,301,1127,175
CA-2014-102869,11,-26.01,233.24,13,340,80,95
CA-2014-102988,212,112.28,4251.92,22,267,1305,620
CA-2014-103058,164,8.0,99.98,2,149,1362,8
CA-2014-103086,14,-1.59,5.31,2,1136,538,432
CA-2014-103100,304,498.52,1107.66,4,414,851,455
CA-2014-103191,155,-82.88,331.54,3,358,127,500
CA-2014-103219,45,21.48,56.52,9,187,1408,682
CA-2014-103310,58,187.66,1769.78,14,1025,1237,411
CA-2014-103317,183,14.49,242.55,10,260,1001,760
CA-2014-103331,285,14.11,31.4,8,86,416,41
CA-2014-103366,236,65.98,149.95,5,626,1328,552
CA-2014-103373,177,-168.96,779.8,2,598,773,94
CA-2014-103401,94,6.22,12.96,2,871,35,744
CA-2014-103429,23,239.35,765.49,14,992,106,429
CA-2014-103492,143,117.41,1488.77,19,982,771,782
CA-2014-103527,155,3.4,10.9,3,340,80,417
CA-2014-103590,184,29.27,62.28,4,953,774,145
CA-2014-103660,5,75.6,1007.94,7,55,1194,596
CA-2014-103702,323,-46.88,63.92,7,171,328,314
CA-2014-103744,294,-4.52,11.37,6,1116,1220,675
CA-2014-103800,14,5.55,16.45,2,1179,1167,24
CA-2014-103807,494,7.99,21.19,4,266,337,605
CA-2014-103849,6,-70.73,225.01,7,218,1174,38
CA-2014-103940,5,77.18,260.79,12,328,158,202
CA-2014-103989,152,68.63,590.77,23,1093,90,204
CA-2014-104178,1,58.7,176.14,14,55,550,25
CA-2014-104269,60,51.48,457.57,2,72,1247,72
CA-2014-104283,372,76.1,616.14,10,700,268,215
CA-2014-104402,285,31.01,65.97,3,1103,670,551
CA-2014-104472,12,41.44,133.13,9,270,159,278
CA-2014-104563,5,85.52,1143.82,18,1009,1432,782
CA-2014-104738,161,63.26,609.61,13,125,1369,407
CA-2014-104773,16,6.04,60.42,2,589,736,533
CA-2014-104780,88,10.51,31.84,8,371,594,404
CA-2014-104808,246,6.04,17.25,2,519,1214,775
CA-2014-104829,267,9.89,21.98,7,728,871,189
CA-2014-104976,34,16.99,34.68,6,337,757,316
CA-2014-105165,66,-12.38,469.05,13,557,1076,449
CA-2014-105172,9,9.07,18.9,6,527,1305,324
CA-2014-105249,34,15.18,460.09,10,683,683,723
CA-2014-105270,141,19.18,143.13,4,7,728,275
CA-2014-105340,89,-11.08,6.93,1,754,641,699
CA-2014-105417,143,-71.96,87.16,10,1167,1316,745
CA-2014-105648,88,-23.49,626.35,3,223,1009,412
CA-2014-105872,23,26.39,70.37,4,992,571,506
CA-2014-105893,7,13.32,665.88,6,7,728,7
CA-2014-105984,47,-244.91,1661.03,8,156,156,501
CA-2014-106054,506,5.24,12.78,3,1037,1167,705
CA-2014-106229,173,-209.77,268.94,3,159,1321,749
